place,state,latitude,longitude,cafe_culture_score,cafe_count_proxy,label_show,label_dx,label_dy,notes,analysis_area_km2,cafes_per_100km2,dot_count,density_band,density_note
Melbourne (Inner),VIC,-37.814,144.963,96,4200,True,-12,-14,Birthplace of the flat white; highest café density in Australia,260,1615.4,23,Extreme,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Sydney (Inner),NSW,-33.869,151.209,82,3800,True,12,-14,Strong specialty scene; Surry Hills & Newtown are epicentres,260,1461.5,21,Very high,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Brisbane (Inner),QLD,-27.47,153.026,71,1850,True,12,-8,Rapidly growing third-wave coffee culture since 2015,180,1027.8,15,Very high,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Perth (Inner),WA,-31.952,115.861,74,1620,True,-14,-8,High per-capita spend; strong independent café scene,160,1012.5,14,Very high,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Adelaide (Inner),SA,-34.929,138.601,65,1180,True,-14,8,Compact city with strong café strip culture on Hutt St & Rundle,130,907.7,13,Very high,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Canberra,ACT,-35.282,149.129,58,680,True,12,8,Government city with growing specialty coffee precinct,150,453.3,6,High,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Hobart,TAS,-42.882,147.329,62,380,True,12,8,Punches above its weight; MONA effect boosted hospitality scene,110,345.5,5,High,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Darwin,NT,-12.463,130.844,41,210,True,12,-8,Smaller market; tropical climate drives cold brew demand,80,262.5,4,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Fitzroy & Collingwood,VIC,-37.799,144.98,99,420,False,0,0,Highest café density in Australia; Australia's specialty coffee triangle,12,3500.0,50,Extreme,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
St Kilda & South Yarra,VIC,-37.86,145.003,88,380,False,0,0,Beach-side café strip; strong brunch culture year-round,22,1727.3,25,Extreme,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Richmond & Hawthorn,VIC,-37.822,145.023,80,460,False,0,0,Busy café corridor along Bridge Rd and Church St,24,1916.7,27,Extreme,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Footscray,VIC,-37.8,144.9,76,260,False,0,0,Multicultural café scene; one of Melbourne's fastest-growing precincts,18,1444.4,21,Very high,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Surry Hills & Newtown,NSW,-33.894,151.186,91,460,False,0,0,Sydney's specialty coffee heartland; highest third-wave density in NSW,18,2555.6,37,Extreme,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Manly & Northern Beaches,NSW,-33.797,151.287,72,380,False,0,0,Coastal café culture; strong brunch spend per capita,60,633.3,9,High,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Gold Coast,QLD,-28.017,153.4,60,720,False,0,0,Tourism-driven; large number of cafes per visitor,414,173.9,2,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Sunshine Coast,QLD,-26.65,153.066,67,480,False,0,0,Strong lifestyle café culture; Noosa is a specialty hotspot,290,165.5,2,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Noosa,QLD,-26.39,153.09,73,140,False,0,0,High café score relative to population; destination dining,90,155.6,2,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Cairns,QLD,-16.924,145.778,44,280,False,0,0,Tourism-dependent; café scene anchored around Esplanade,120,233.3,3,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Fremantle,WA,-32.057,115.747,83,310,False,0,0,WA's most café-dense suburb; strong independent roaster scene,20,1550.0,22,Extreme,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Margaret River,WA,-33.953,115.075,79,80,False,0,0,Wine-region café culture; very high score per capita,80,100.0,1,Low,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
