rationale,item,visual_weight_pct,label_note,source_url,source_basis
Rare beans,Black Ivory,12,Rarity + animal-assisted processing,https://blackivorycoffee.com/,Brand/source describes Black Ivory as rare and expensive
Rare beans,Kopi Luwak,11,Novelty + scarce production,https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,Listed among highly priced luxury coffees
Rare beans,St Helena,7,Remote island origin,https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,Listed as a rare premium coffee origin
Single origin,Panama Geisha,12,Auction prestige + floral cup profile,https://www.seriouseats.com/coffee-varieties-what-does-geisha-coffee-hacienda-esmeralda-what-does-it-taste-like,Gesha/Geisha described as premium variety linked to Hacienda La Esmeralda
Single origin,Jamaican Blue Mountain,10,Protected origin + global recognition,https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,Listed among expensive premium coffees
Single origin,Hawaiian Kona,8,Limited US island origin,https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,Listed among expensive premium coffees
Single origin,Yemen Mocha,6,Historic origin + limited supply,https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,Used as premium origin example
Single origin,Yirgacheffe,6,Recognisable Ethiopian origin,https://perfectdailygrind.com/2025/10/specialty-coffee-diversifying-roasters/,Specialty demand linked to single origins and diverse offerings
Experience venues,Cupping rooms,7,Tasting-led premium experience,https://perfectdailygrind.com/2025/10/specialty-coffee-diversifying-roasters/,Specialty coffee demand tied to quality-focused consumer experiences
Experience venues,Roastery bars,5,On-site roasting + education,https://perfectdailygrind.com/2025/10/specialty-coffee-diversifying-roasters/,Specialty coffee demand tied to roasters and differentiated experiences
Experience venues,Hotel service,4,Luxury hospitality context,https://blackivorycoffee.com/,Luxury-service context used for rare premium coffee
Special processing,Anaerobic natural,5,Experimental fermentation profile,https://perfectdailygrind.com/2025/10/specialty-coffee-diversifying-roasters/,Innovative processing methods described as a specialty trend
Special processing,Carbonic maceration,4,Wine-style fermentation method,https://perfectdailygrind.com/2025/10/specialty-coffee-diversifying-roasters/,Innovative processing methods described as a specialty trend
Special processing,Honey process,3,Sweetness-focused processing,https://perfectdailygrind.com/2025/10/specialty-coffee-diversifying-roasters/,Special processing example within specialty coffee trend
